Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
953,CSE2006 ,Microprocessor and Interfacing,Dr. shami,2,1,1,1,3
954,CSE4014 ,High Performance Computing,Dr. santna,2,5,1,2,2
955,CSE1007 ,Java Programming,Dr. balbir,4,3,1,4,4
956,CSE3020 ,Data Visualization,Dr. samaprveen,1,5,3,1,5
957,CSE2004 ,Database Management Systems,Dr. sudeshwer,4,4,3,1,4
958,CSE3501,Information Security Analysis and Audit,Dr. daks,1,1,1,4,2
959,CSE2012,Design and analysis of algorithms,Dr. amarjit,5,2,1,5,2
960,MAT3004 ,Applied Linear Algebra,Dr. ranvir,4,1,3,3,3
961,CSE4014 ,High Performance Computing,Dr. kamlesh,5,1,3,5,3
962,CSE2014,Compiler Design,Dr. baburam,1,3,1,5,4
963,CSE2011 ,Data Structures and Algorithms,Dr. albina,3,5,2,3,5
964,CSE3006 ,Embedded System Design,Dr. hudi,2,3,0,1,3
965,CSE3024 ,Web Mining,Dr. pravindra,5,1,0,3,2
966,CSE1003 ,Digital Logic and Design,Dr. punit,4,1,0,1,4
967,MAT3004 ,Applied Linear Algebra,Dr. nathi,4,4,4,3,3
968,MAT2002,Applications of Differential and Difference Equations,Dr. aarifun,1,1,1,4,2
969,CSE3018 ,Content Based Image and Video Retrieval,Dr. lucki,2,3,0,1,4
970,MAT3004 ,Applied Linear Algebra,Dr. rijul,2,1,2,2,5
971,CSE4015 ,Human Computer Interaction,Dr. chandni,2,5,1,3,3
972,CSE4019 ,Image Processing,Dr. kushbu,4,2,0,4,2
973,CSE4014 ,High Performance Computing,Dr. albaksha,3,1,3,5,4
974,CSE3018 ,Content Based Image and Video Retrieval,Dr. swarn,3,3,4,1,3
975,ECE3501,IoT Fundamentals,Dr. zuveb,2,2,4,2,5
976,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. kiswar,5,1,3,1,4
977,CSE3021 ,Social and Information Networks,Dr. ashrfi,2,2,1,5,2
978,CSE3009 ,Internet of Things,Dr. hema,3,3,1,2,3
979,CSE3501,Information Security Analysis and Audit,Dr. mohit,2,3,2,3,4
980,CSE1007 ,Java Programming,Dr. homa,3,2,2,2,2
981,CSE4020 ,Machine Learning,Dr. chetan,5,3,2,3,4
982,CSE3025 ,Large Scale Data Processing,Dr. abida,5,2,3,4,3
983,CSE4020 ,Machine Learning,Dr. shanaz,5,3,4,1,4
984,MAT1014,Discrete Mathematics and Graph Theory,Dr. babbi,3,4,3,4,5
985,CSE2012,Design and analysis of algorithms,Dr. raziya,4,1,1,2,2
986,CSE3506,Essentials of Data Analytics,Dr. vipun,2,5,0,4,2
987,MAT1014,Discrete Mathematics and Graph Theory,Dr. jarif,3,3,3,1,4
988,CSE3001 ,Software Engineering,Dr. anli,5,3,5,4,5
989,CSE3506,Essentials of Data Analytics,Dr. istkhar,5,1,3,4,2
990,CSE4001 ,Parallel and Distributed Computing,Dr. vishvash,4,3,2,4,3
991,CSE3506,Essentials of Data Analytics,Dr. dharam,3,2,2,1,3
992,CSE4004 ,Digital Forensics,Dr. baleshwar,2,3,2,1,2
993,CSE1004 ,Network and Communication,Dr. veerpal,4,4,1,2,3
994,CSE3020 ,Data Visualization,Dr. sirjna,3,3,3,4,4
995,CSE2001 ,Computer Architecture and Organization,Dr. nitesh,4,4,2,4,3
996,CSE4001 ,Parallel and Distributed Computing,Dr. sibanaz,4,3,1,5,4
997,CSE3029 ,Game Programming,Dr. baudi,4,2,1,5,4
998,MAT2002,Applications of Differential and Difference Equations,Dr. samiksa,2,1,3,1,3
999,CSE4011 ,Virtualization,Dr. radheshyam,4,1,2,2,3
1000,CSE3009 ,Internet of Things,Dr. sumedha,1,2,1,2,2
1001,CSE4020 ,Machine Learning,Dr. zareena,2,2,6,4,5
1002,CSE1004 ,Network and Communication,Dr. samsuddin,3,2,0,4,5
1003,CSE2006 ,Microprocessor and Interfacing,Dr. kaishav,4,5,2,5,4
1004,CSE4011 ,Virtualization,Dr. sheikhsai,3,3,2,2,4
1005,CSE2013,Theory of Computation,Dr. vindeshver,3,2,1,1,3
1006,CSE4014 ,High Performance Computing,Dr. faisal,2,4,1,1,4
1007,CSE4014 ,High Performance Computing,Dr. rima,3,3,2,4,2
1008,CSE2011 ,Data Structures and Algorithms,Dr. parveen,2,2,1,2,4
1009,ECE3502,IoT Domain Analyst,Dr. khubhu,1,3,1,1,4
1010,ECE3501,IoT Fundamentals,Dr. rajender,2,1,1,4,4
1011,CSE2023,Robotic Process Automation,Dr. birajpal,3,5,2,3,3
1012,CSE1007 ,Java Programming,Dr. safika,5,5,2,4,3
1013,CSE3021 ,Social and Information Networks,Dr. pappy,1,1,1,1,3
1014,CSE3011 ,Robotics and its Applications,Dr. pravin,5,4,2,4,3
1015,CSE1007 ,Java Programming,Dr. asharam,1,5,0,1,4
1016,CSE4015 ,Human Computer Interaction,Dr. tanu,3,1,1,4,5
1017,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. bagga,2,2,1,5,3
1018,CSE3501,Information Security Analysis and Audit,Dr. moka,5,2,1,3,2
1019,MAT1014,Discrete Mathematics and Graph Theory,Dr. shabbi,5,3,3,2,5
1020,CSE3009 ,Internet of Things,Dr. durganand,5,5,0,3,3
1021,CSE3505,Foundations of Data Analytics,Dr. nabi,1,2,3,5,5
1022,CSE3501,Information Security Analysis and Audit,Dr. bilkis,3,4,3,5,3
1023,CSE2006 ,Microprocessor and Interfacing,Dr. sidhart,3,5,2,1,2
1024,CSE2006 ,Microprocessor and Interfacing,Dr. preet,4,3,4,3,4
1025,CSE3006 ,Embedded System Design,Dr. robi,5,3,1,1,2
1026,CSE4014 ,High Performance Computing,Dr. rama,4,3,4,2,4
1027,CSE2013,Theory of Computation,Dr. udai,5,5,3,5,5
1028,CSE2004 ,Database Management Systems,Dr. hritik,2,5,2,5,3
1029,CSE1007 ,Java Programming,Dr. subhagya,3,4,0,3,4
1030,CSE3018 ,Content Based Image and Video Retrieval,Dr. chaterpal,4,4,2,4,3
1031,CSE4001 ,Parallel and Distributed Computing,Dr. deva,5,5,1,2,2
1032,CSE2014,Compiler Design,Dr. garupal,5,4,3,4,5
1033,CSE4022 ,Natural Language Processing,Dr. mansha,1,3,1,1,2
1034,CSE2014,Compiler Design,Dr. ranjeet,2,5,3,1,3
1035,CSE3501,Information Security Analysis and Audit,Dr. rabin,1,2,1,4,2
1036,CSE2005 ,Operating Systems,Dr. mobarkar,1,1,3,3,3
1037,CSE3021 ,Social and Information Networks,Dr. ishant,1,3,2,5,3
1038,CSE2014,Compiler Design,Dr. mhendar,2,2,3,4,3
1039,CSE4022 ,Natural Language Processing,Dr. mamchand,5,2,1,1,2
1040,CSE3013 ,Artificial Intelligence,Dr. ilma,4,3,0,3,2
1041,CSE3013 ,Artificial Intelligence,Dr. sakiran,1,5,1,4,4
1042,CSE4003 ,Cyber Security,Dr. khurshida,4,3,1,3,2
1043,CSE2011 ,Data Structures and Algorithms,Dr. rohil,5,3,4,2,5
1044,CSE2005 ,Operating Systems,Dr. khushnasiba,2,5,6,3,5
1045,ECE3502,IoT Domain Analyst,Dr. nirutma,4,2,2,2,5
1046,CSE4019 ,Image Processing,Dr. ruanbza,2,3,2,4,3
1047,MAT2002,Applications of Differential and Difference Equations,Dr. taiyab,5,4,4,4,5
1048,CSE4014 ,High Performance Computing,Dr. sahlesh,4,2,0,4,4
1049,CSE3011 ,Robotics and its Applications,Dr. ratneshwar,5,3,3,5,4
1050,CSE4003 ,Cyber Security,Dr. birpal,2,3,1,3,3
1051,EEE1001,Basic Electrical and Electronics Engineering,Dr. rimpi,4,5,3,1,3
1052,CSE2005 ,Operating Systems,Dr. vakil,4,2,1,3,5
1053,CSE4004 ,Digital Forensics,Dr. ashish,3,5,1,3,4
1054,CSE2005 ,Operating Systems,Dr. sahjad,4,4,2,4,3
1055,CSE4001 ,Parallel and Distributed Computing,Dr. abid,3,4,1,3,3
1056,MAT1014,Discrete Mathematics and Graph Theory,Dr. amina,5,4,3,2,4
1057,CSE3024 ,Web Mining,Dr. neeli,4,3,2,4,3
1058,CSE3018 ,Content Based Image and Video Retrieval,Dr. angad,4,4,4,5,5
1059,CSE3025 ,Large Scale Data Processing,Dr. vikarm,2,3,1,2,2
1060,CSE3002 ,Internet and Web Programming,Dr. deepka,2,2,1,3,3
1061,MAT2002,Applications of Differential and Difference Equations,Dr. ajaj,3,5,4,3,5
1062,CSE2005 ,Operating Systems,Dr. iqrar,2,2,1,2,5
1063,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. jameer,2,4,1,1,2
1064,CSE4020 ,Machine Learning,Dr. vasida,1,3,2,2,5
1065,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. shabbir,5,2,1,3,3
1066,CSE1007 ,Java Programming,Dr. sharwan,2,3,4,3,3
1067,CSE4022 ,Natural Language Processing,Dr. vandhna,4,2,2,1,4
1068,EEE1001,Basic Electrical and Electronics Engineering,Dr. narmda,3,2,2,4,3
1069,EEE1001,Basic Electrical and Electronics Engineering,Dr. ghantoli,4,2,2,5,2
1070,ECE3501,IoT Fundamentals,Dr. begam,4,5,1,1,3
1071,CSE4004 ,Digital Forensics,Dr. shekh,4,1,1,5,3
1072,CSE3011 ,Robotics and its Applications,Dr. mursida,3,1,3,1,3
1073,CSE4019 ,Image Processing,Dr. tilk,2,3,2,2,4
1074,CSE3021 ,Social and Information Networks,Dr. sher,4,3,1,5,4
1075,CSE3009 ,Internet of Things,Dr. suminder,2,2,3,5,5
1076,CSE3025 ,Large Scale Data Processing,Dr. riyajudin,4,2,2,3,3
1077,CSE4004 ,Digital Forensics,Dr. premi,2,4,1,3,4
1078,CSE3501,Information Security Analysis and Audit,Dr. swaranjeet,5,3,4,2,4
1079,CSE2023,Robotic Process Automation,Dr. rahim,2,2,1,5,3
1080,CSE2001 ,Computer Architecture and Organization,Dr. krishn,1,1,4,3,4
1081,CSE4003 ,Cyber Security,Dr. santo,2,4,0,4,2
1082,CSE3011 ,Robotics and its Applications,Dr. banti,4,2,1,3,5
1083,ECE3501,IoT Fundamentals,Dr. santok,1,1,6,4,5
1084,ECE3501,IoT Fundamentals,Dr. feflibai,1,2,2,2,4
1085,CSE4004 ,Digital Forensics,Dr. pari,4,4,0,5,4
1086,CSE2014,Compiler Design,Dr. rajbir,4,1,2,5,5
1087,CSE2013,Theory of Computation,Dr. tekchand,2,5,2,5,3
1088,CSE4011 ,Virtualization,Dr. huseni,1,5,3,3,4
1089,CSE3020 ,Data Visualization,Dr. nawaz,5,2,1,3,5
1090,MAT1014,Discrete Mathematics and Graph Theory,Dr. premchand,4,3,1,2,2
1091,CSE3020 ,Data Visualization,Dr. anjali,1,5,2,5,3
1092,CSE4014 ,High Performance Computing,Dr. hasim,2,2,1,2,2
1093,CSE4004 ,Digital Forensics,Dr. vipasha,3,5,0,2,4
1094,CSE4003 ,Cyber Security,Dr. nakched,2,5,1,5,5
1095,CSE3021 ,Social and Information Networks,Dr. sujata,2,3,2,4,4
1096,ECE3502,IoT Domain Analyst,Dr. toshar,2,3,3,5,5
1097,CSE4022 ,Natural Language Processing,Dr. shahista,1,3,2,3,4
1098,CSE3025 ,Large Scale Data Processing,Dr. mintu,3,4,1,3,5
1099,CSE1004 ,Network and Communication,Dr. agrej,3,3,2,3,3
1100,ECE3502,IoT Domain Analyst,Dr. sahib,4,4,2,1,4
1101,CSE4019 ,Image Processing,Dr. chandni,5,1,1,2,2
1102,CSE3013 ,Artificial Intelligence,Dr. sudeshwer,1,2,3,1,4
1103,CSE3024 ,Web Mining,Dr. meharuddin,4,1,2,3,2
1104,CSE3025 ,Large Scale Data Processing,Dr. nenshi,5,3,1,4,3
1105,EEE1001,Basic Electrical and Electronics Engineering,Dr. midda,2,3,0,4,2
1106,CSE1004 ,Network and Communication,Dr. zahid,3,3,2,3,3
1107,CSE4020 ,Machine Learning,Dr. lawli,2,1,2,5,2
1108,CSE3020 ,Data Visualization,Dr. saveroon,2,4,2,3,3
1109,CSE3505,Foundations of Data Analytics,Dr. tribavan,5,2,1,2,2
1110,CSE1003 ,Digital Logic and Design,Dr. prati,4,4,1,5,2
1111,CSE2014,Compiler Design,Dr. pirmika,5,1,2,1,3
1112,CSE2004 ,Database Management Systems,Dr. vineeta,5,4,2,3,3
1113,CSE4019 ,Image Processing,Dr. mukul,3,2,1,2,2
1114,CSE2004 ,Database Management Systems,Dr. alka,1,5,1,5,5
1115,CSE4011 ,Virtualization,Dr. noor,3,5,0,5,2
1116,CSE3024 ,Web Mining,Dr. akheelesh,2,4,1,1,3
1117,CSE3018 ,Content Based Image and Video Retrieval,Dr. arshla,2,4,2,2,5
1118,CSE3020 ,Data Visualization,Dr. shankuntla,2,4,3,1,2
1119,CSE4022 ,Natural Language Processing,Dr. amber,3,1,2,3,4
1120,CSE4014 ,High Performance Computing,Dr. nasrul,4,5,3,1,4
1121,CSE4014 ,High Performance Computing,Dr. sudeshwer,5,3,4,3,5
1122,CSE3502,Information Security Management,Dr. mamita,5,3,0,3,3
1123,CSE4019 ,Image Processing,Dr. duni,4,4,1,2,4
1124,CSE4014 ,High Performance Computing,Dr. narain,3,5,1,2,3
1125,CSE2014,Compiler Design,Dr. rajkali,2,5,1,4,2
1126,CSE1003 ,Digital Logic and Design,Dr. rishma,3,2,3,5,4
1127,CSE3020 ,Data Visualization,Dr. najni,4,1,4,2,3
1128,CSE3002 ,Internet and Web Programming,Dr. bisto,5,1,1,1,4
1129,CSE3505,Foundations of Data Analytics,Dr. maushid,2,4,1,2,3
1130,CSE4015 ,Human Computer Interaction,Dr. kosalya,4,2,1,3,2
1131,EEE1001,Basic Electrical and Electronics Engineering,Dr. raunaf,3,4,0,3,3
1132,CSE2005 ,Operating Systems,Dr. dharmbir,4,3,0,3,2
1133,MAT2002,Applications of Differential and Difference Equations,Dr. mausam,5,4,4,4,5
1134,CSE3018 ,Content Based Image and Video Retrieval,Dr. ragini,5,3,0,5,5
1135,CSE3018 ,Content Based Image and Video Retrieval,Dr. rambhajan,4,5,0,3,4
1136,CSE2011 ,Data Structures and Algorithms,Dr. madhusudan,5,4,1,5,2
1137,CSE3006 ,Embedded System Design,Dr. shabnur,5,4,2,5,2
1138,CSE1007 ,Java Programming,Dr. nittin,1,3,1,4,4
1139,CSE4015 ,Human Computer Interaction,Dr. omkar,1,2,3,2,4
1140,CSE4014 ,High Performance Computing,Dr. dhmendar,1,3,1,5,3
1141,CSE3011 ,Robotics and its Applications,Dr. chandkor,4,1,4,1,4
1142,CSE1003 ,Digital Logic and Design,Dr. ranjana,4,4,2,5,4
1143,EEE1001,Basic Electrical and Electronics Engineering,Dr. manvendra,3,1,2,4,3
1144,CSE3001 ,Software Engineering,Dr. chura,5,5,2,1,2
1145,CSE2005 ,Operating Systems,Dr. asutosh,5,3,0,2,2
1146,ECE3502,IoT Domain Analyst,Dr. bahalen,3,1,3,2,3
1147,CSE3506,Essentials of Data Analytics,Dr. lakki,3,2,2,3,2
1148,CSE3505,Foundations of Data Analytics,Dr. ajab,5,4,4,4,5
1149,CSE3029 ,Game Programming,Dr. ramvati,1,3,1,3,4
1150,ECE3502,IoT Domain Analyst,Dr. sukhmit,2,2,3,3,5
1151,CSE4015 ,Human Computer Interaction,Dr. dipa,1,2,1,4,3
1152,CSE1003 ,Digital Logic and Design,Dr. sanaullah,4,4,2,5,4
1153,CSE2005 ,Operating Systems,Dr. sahanaj,2,3,1,3,5
1154,ECE3501,IoT Fundamentals,Dr. bina,5,1,1,2,2
1155,EEE1001,Basic Electrical and Electronics Engineering,Dr. ganpati,1,3,2,5,2
1156,CSE3006 ,Embedded System Design,Dr. kaval,1,5,2,4,5
1157,CSE3506,Essentials of Data Analytics,Dr. ramkish,3,5,3,3,3
1158,CSE4014 ,High Performance Computing,Dr. farhaja,1,1,2,5,5
1159,MAT1014,Discrete Mathematics and Graph Theory,Dr. mandi,1,4,0,5,3
1160,CSE2006 ,Microprocessor and Interfacing,Dr. sheeak,3,3,4,5,4
1161,CSE2023,Robotic Process Automation,Dr. isha,1,2,1,5,2
1162,MAT3004 ,Applied Linear Algebra,Dr. jitin,4,4,2,2,3
1163,CSE3024 ,Web Mining,Dr. hena,2,2,0,1,2
1164,CSE3024 ,Web Mining,Dr. titu,2,3,0,2,2
1165,CSE3009 ,Internet of Things,Dr. lakky,3,2,2,5,3
1166,MAT2002,Applications of Differential and Difference Equations,Dr. dhara,5,5,2,3,4
1167,ECE3502,IoT Domain Analyst,Dr. gandharv,3,4,3,1,2
1168,CSE2006 ,Microprocessor and Interfacing,Dr. moral,4,2,1,2,4
1169,CSE3009 ,Internet of Things,Dr. bhima,4,3,2,2,2
1170,CSE2013,Theory of Computation,Dr. ved,3,2,1,3,2
1171,CSE3505,Foundations of Data Analytics,Dr. mamata,3,5,2,1,3
1172,CSE3024 ,Web Mining,Dr. boby,1,1,2,3,5
1173,CSE4004 ,Digital Forensics,Dr. nikky,3,4,3,3,4
1174,CSE3002 ,Internet and Web Programming,Dr. gaurav,1,5,1,2,2
1175,CSE2013,Theory of Computation,Dr. karunakar,1,1,1,2,5
1176,CSE1003 ,Digital Logic and Design,Dr. lushi,3,5,1,2,3
1177,CSE4011 ,Virtualization,Dr. istikar,4,5,3,3,2
1178,ECE3502,IoT Domain Analyst,Dr. srikant,3,3,1,5,4
1179,CSE3006 ,Embedded System Design,Dr. ashtha,3,5,0,4,3
1180,CSE2012,Design and analysis of algorithms,Dr. sandee[,5,2,3,2,4
1181,CSE4004 ,Digital Forensics,Dr. majidunisha,5,4,3,5,4
1182,CSE4003 ,Cyber Security,Dr. bhuli,5,5,1,1,2
1183,CSE2005 ,Operating Systems,Dr. malkiat,1,3,1,2,4
1184,CSE3501,Information Security Analysis and Audit,Dr. bijander,3,5,2,5,4
1185,CSE3502,Information Security Management,Dr. nej,2,3,2,2,3
1186,CSE1007 ,Java Programming,Dr. bilke,1,2,3,3,2
1187,CSE3501,Information Security Analysis and Audit,Dr. roobi,1,4,2,4,2
1188,CSE2013,Theory of Computation,Dr. vaid,2,4,2,3,4
1189,CSE2001 ,Computer Architecture and Organization,Dr. mallika,5,3,1,3,4
1190,CSE3505,Foundations of Data Analytics,Dr. antim,1,1,3,2,4
1191,CSE3502,Information Security Management,Dr. kulsum,3,5,3,3,4
1192,CSE3006 ,Embedded System Design,Dr. ranipal,2,2,2,5,4
1193,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. renuka,5,3,6,4,5
1194,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. dildar,4,4,3,2,3
1195,CSE3009 ,Internet of Things,Dr. azim,4,4,4,4,5
1196,CSE3021 ,Social and Information Networks,Dr. mamuna,4,1,0,3,4
1197,CSE3021 ,Social and Information Networks,Dr. jagtar,1,3,0,1,2
1198,CSE4011 ,Virtualization,Dr. imrana,3,5,3,5,4
1199,CSE2001 ,Computer Architecture and Organization,Dr. sujen,2,5,1,3,4
1200,CSE3006 ,Embedded System Design,Dr. banti,2,1,2,2,4
1201,CSE3011 ,Robotics and its Applications,Dr. deewan,4,4,3,1,4
1202,CSE4020 ,Machine Learning,Dr. prezi,3,5,6,1,5
1203,CSE3009 ,Internet of Things,Dr. ekamjeet,4,5,0,1,2
1204,MAT1014,Discrete Mathematics and Graph Theory,Dr. samayddin,4,3,2,5,5
1205,EEE1001,Basic Electrical and Electronics Engineering,Dr. hasan,2,1,4,3,5
1206,ECE3502,IoT Domain Analyst,Dr. ajju,4,2,0,4,2
1207,CSE3020 ,Data Visualization,Dr. rashimi,3,1,2,1,3
1208,CSE4019 ,Image Processing,Dr. taki,3,3,0,1,2
1209,CSE3001 ,Software Engineering,Dr. araslan,2,5,2,3,4
1210,CSE3029 ,Game Programming,Dr. shivcharan,3,4,3,3,5
1211,CSE4015 ,Human Computer Interaction,Dr. tashkkur,2,4,2,1,5
1212,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. mehwish,2,1,2,3,4
1213,CSE4020 ,Machine Learning,Dr. manvendra,4,1,0,1,4
1214,CSE1003 ,Digital Logic and Design,Dr. ritunjay,3,2,1,3,2
1215,CSE3506,Essentials of Data Analytics,Dr. sabbu,1,5,1,4,4
1216,MAT3004 ,Applied Linear Algebra,Dr. baliram,3,4,2,5,4
1217,CSE3013 ,Artificial Intelligence,Dr. syamsunder,5,2,5,3,5
1218,CSE3501,Information Security Analysis and Audit,Dr. bikki,3,1,1,1,4
1219,CSE2011 ,Data Structures and Algorithms,Dr. shukveer,3,2,2,1,3
1220,CSE3001 ,Software Engineering,Dr. chhamo,5,4,2,2,3
1221,CSE2013,Theory of Computation,Dr. sonali,5,3,4,2,5
1222,CSE3018 ,Content Based Image and Video Retrieval,Dr. vashanavi,1,4,3,5,3
1223,CSE3501,Information Security Analysis and Audit,Dr. denesh,5,2,1,4,2
1224,CSE4019 ,Image Processing,Dr. naim,2,1,2,1,5
1225,CSE2011 ,Data Structures and Algorithms,Dr. harkesh,1,5,2,1,2
1226,CSE2001 ,Computer Architecture and Organization,Dr. manimegla,2,1,1,5,2
1227,CSE2012,Design and analysis of algorithms,Dr. atiq,4,2,3,5,4
1228,CSE2005 ,Operating Systems,Dr. shoukat,3,4,0,5,4
1229,CSE2001 ,Computer Architecture and Organization,Dr. shagufta,4,4,2,2,2
1230,CSE4004 ,Digital Forensics,Dr. sushail,2,1,2,5,2
1231,CSE3501,Information Security Analysis and Audit,Dr. pratibha,4,3,2,5,4
1232,CSE3029 ,Game Programming,Dr. sahun,1,3,2,2,2
1233,CSE4020 ,Machine Learning,Dr. jagjeet,1,5,1,1,3
1234,CSE3506,Essentials of Data Analytics,Dr. imtyaz,1,2,1,5,2
1235,CSE3002 ,Internet and Web Programming,Dr. anash,1,1,2,2,3
1236,CSE2011 ,Data Structures and Algorithms,Dr. buhan,3,2,0,2,2
1237,CSE4019 ,Image Processing,Dr. hukamchand,4,2,1,2,2
1238,CSE3009 ,Internet of Things,Dr. punia,3,5,1,3,4
1239,CSE3501,Information Security Analysis and Audit,Dr. aabida,3,3,0,2,2
1240,CSE4001 ,Parallel and Distributed Computing,Dr. meeta,2,3,2,1,4
1241,CSE4011 ,Virtualization,Dr. rahis,2,5,3,2,5
1242,CSE4001 ,Parallel and Distributed Computing,Dr. radat,2,4,1,4,4
1243,CSE4022 ,Natural Language Processing,Dr. pramjeet,4,2,0,3,5
1244,CSE3018 ,Content Based Image and Video Retrieval,Dr. yunishs,3,5,0,1,2
1245,ECE3502,IoT Domain Analyst,Dr. mona,3,5,2,1,4
1246,CSE3009 ,Internet of Things,Dr. shabbir,2,5,1,4,2
1247,CSE4011 ,Virtualization,Dr. chotti,4,5,1,5,4
1248,CSE4014 ,High Performance Computing,Dr. gyanwati,5,4,6,4,5
1249,CSE3018 ,Content Based Image and Video Retrieval,Dr. atu,3,1,4,4,5
1250,CSE4022 ,Natural Language Processing,Dr. tanveer,4,2,0,3,4
1251,CSE4003 ,Cyber Security,Dr. chetana,3,5,0,2,2
1252,CSE3021 ,Social and Information Networks,Dr. sahdab,2,2,0,2,2
1253,CSE3002 ,Internet and Web Programming,Dr. ashnu,3,4,0,4,4
1254,ECE3502,IoT Domain Analyst,Dr. ajeem,5,5,2,1,3
1255,CSE2012,Design and analysis of algorithms,Dr. deepnarayan,1,2,2,4,2
1256,MAT2002,Applications of Differential and Difference Equations,Dr. kartik,2,2,4,3,5
1257,CSE3506,Essentials of Data Analytics,Dr. nasrin,4,2,0,3,5
1258,CSE2023,Robotic Process Automation,Dr. hagami,2,1,1,3,2
1259,CSE3024 ,Web Mining,Dr. asrf,1,3,2,4,3
1260,CSE3025 ,Large Scale Data Processing,Dr. rahmat,2,4,1,1,2
1261,CSE3024 ,Web Mining,Dr. daya,2,5,2,1,4
1262,CSE3501,Information Security Analysis and Audit,Dr. balmiki,1,3,1,2,2
1263,CSE2004 ,Database Management Systems,Dr. nurjaha,2,5,3,2,5
1264,CSE2005 ,Operating Systems,Dr. rawi,3,4,2,5,2
1265,CSE4015 ,Human Computer Interaction,Dr. surajmal,5,1,1,2,2
1266,CSE2005 ,Operating Systems,Dr. khuma,4,2,3,1,4
1267,CSE3013 ,Artificial Intelligence,Dr. himal,3,3,3,3,5
1268,CSE2001 ,Computer Architecture and Organization,Dr. nanhu,5,1,3,4,5
1269,CSE1003 ,Digital Logic and Design,Dr. nazreen,1,5,3,1,2
1270,CSE2001 ,Computer Architecture and Organization,Dr. ravikant,3,4,0,2,3
1271,CSE4003 ,Cyber Security,Dr. vineeta,4,4,3,3,3
1272,CSE1003 ,Digital Logic and Design,Dr. sama,5,4,2,2,5
1273,ECE3501,IoT Fundamentals,Dr. santoshi,1,5,6,4,5
1274,MAT2002,Applications of Differential and Difference Equations,Dr. sashi,4,1,2,2,3
1275,CSE2004 ,Database Management Systems,Dr. ramniwasj,5,2,1,3,3
1276,CSE3024 ,Web Mining,Dr. minkashi,4,5,4,4,5
1277,CSE4011 ,Virtualization,Dr. mahjabi,4,2,3,3,5
1278,ECE3502,IoT Domain Analyst,Dr. abhaysingh,2,3,2,1,4
1279,CSE2012,Design and analysis of algorithms,Dr. sohal,4,4,1,3,2
1280,CSE1003 ,Digital Logic and Design,Dr. pramjot,2,3,3,3,3
1281,CSE2011 ,Data Structures and Algorithms,Dr. lala,4,2,1,4,3
1282,MAT1014,Discrete Mathematics and Graph Theory,Dr. ujjwal,4,5,4,5,5
1283,CSE3018 ,Content Based Image and Video Retrieval,Dr. ashiya,4,1,0,2,2
1284,CSE2004 ,Database Management Systems,Dr. ujamma,5,3,0,5,2
1285,CSE4019 ,Image Processing,Dr. islamudin,3,1,1,1,2
1286,CSE3029 ,Game Programming,Dr. mushkan,2,2,2,3,5
1287,CSE3024 ,Web Mining,Dr. shrabani,1,3,0,3,4
1288,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. rimzim,3,5,1,4,4
1289,CSE4014 ,High Performance Computing,Dr. atul,2,1,1,1,2
1290,CSE3029 ,Game Programming,Dr. bhhatu,5,3,0,1,4
1291,CSE1007 ,Java Programming,Dr. julee,5,5,1,2,4
1292,CSE2005 ,Operating Systems,Dr. nathani,1,2,0,1,3
1293,ECE3501,IoT Fundamentals,Dr. sudha,1,4,0,5,5
1294,CSE3029 ,Game Programming,Dr. oma,1,1,2,2,4
1295,CSE3501,Information Security Analysis and Audit,Dr. pankajsheel,4,2,1,2,2
1296,CSE3006 ,Embedded System Design,Dr. lav,1,2,1,5,5
1297,CSE3024 ,Web Mining,Dr. mohmmd,4,3,1,5,3
1298,CSE3020 ,Data Visualization,Dr. palak,4,3,2,3,5
1299,CSE3018 ,Content Based Image and Video Retrieval,Dr. ramdev,3,4,5,2,4
1300,CSE1004 ,Network and Communication,Dr. sundri,1,4,0,3,4
1301,MAT1014,Discrete Mathematics and Graph Theory,Dr. ilayat,2,5,1,1,5
1302,CSE4001 ,Parallel and Distributed Computing,Dr. bato,5,1,4,2,3
1303,EEE1001,Basic Electrical and Electronics Engineering,Dr. birjesh,3,3,3,1,3
1304,CSE3025 ,Large Scale Data Processing,Dr. klash,5,5,3,4,5
1305,CSE4022 ,Natural Language Processing,Dr. khajan,5,4,3,1,2
1306,CSE4019 ,Image Processing,Dr. brijlal,4,2,3,4,2
1307,CSE2001 ,Computer Architecture and Organization,Dr. makhan,2,1,3,3,5
1308,CSE4022 ,Natural Language Processing,Dr. kunj,2,3,3,1,2
1309,CSE3025 ,Large Scale Data Processing,Dr. kashis,1,2,1,4,4
1310,CSE1007 ,Java Programming,Dr. sheelu,5,1,2,3,3
1311,CSE3501,Information Security Analysis and Audit,Dr. juhi,5,3,0,1,5
